ligand	receptor
Hbegf	Cd44
Ctgf	Itga5
Bmp7	Acvr2b
Il17f	Il17rc
Nampt	Adora2a
Ccl3	Ccr1
Ccl3	Ccr1l1
Adcyap1	Adcyap1r1
Bmp2	Acvr2b
Fasl	Tnfrsf1a
Il18	Il1rl2
F2	Vtn
Ccl19	Ccr10
Ltb	Ltbr
Tg	Lrp2
Il8	Cxcr1
Nppb	Npr1
Ccl3	Ccr3
Gcg	Gipr
Tnfsf13	Tnfrsf13b
Pomc	Mc5r
Nmb	Nmbr
Fgf5	Fgfr4
Gdf9	Bmpr1b
Crh	Crhr2
Ccl14	Ccr5
Ttr	Lrp2
Edn3	Ednra
Tnf	Traf2
Prlh	Prlhr
Ccl3	Ccr4
Il7	Gm20489
Il7	Il2rg
Pdgfb	Lrp1
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Il17a	Il17rc
Fgf3	Fgfr4
Ccl3	Ccr3
Il8	Darc
Bdnf	Sort1
Cgb	Lhcgr
Ccl17	Ccr8
Vegfa	Nrp1
Btc	Erbb4
Cxcl5	Cxcr2
Cxcl5	Cxcr1
Il4	Il13ra1
Dkk1	Lrp5
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Fgf2	Vtn
Tnf	Fas
Iapp	Ramp1
Vegfa	Nrp2
Rln1	Rxfp1
Il26	Il20ra
Pdgfb	Pdgfrb
Gdf5	Bmpr1b
Hgf	Met
Rln1	Rxfp1
Tnfsf13	Fas
Ghrl	Ghrhr
Tnfsf9	Tnfrsf9
Ins1	Hla-Dqa2
Ins2	Hla-Dqa2
Ghrh	Ghrhr
Gnrh1	Gnrhr
Il3	Csf2rb2
Il3	Csf2rb
Vegfc	Kdr
Tgfb1	Itgav
Cxcl2	Dpp4
Figf	Flt4
Fasl	Fas
Cxcl1	Darc
Ccl5	Sdc4
Il16	Grin2a
Fasl	Tnfrsf26
Fasl	Tnfrsf22
Fasl	Tnfrsf23
Spp1	Itga9
Bmp1	Adra1a
Pomc	Mc2r
Il25	Il17rb
Il1b	Adrb2
Spp1	Itgav
Ppbp	Gabbr1
Gdf5	Acvr2b
Gdf6	Bmpr1a
Gdnf	Gfra2
Cxcl9	Dpp4
Wnt1	Lrp5
Gdf5	Acvr1
Fgf2	Fgfrl1
Ccl5	Ccr3
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Csf3	Csf3r
Pth	Pth1r
Cxcl5	Cxcr2
Cxcl5	Cxcr1
Ebi3	Il27ra
Guca2a	Gucy2c
Nrg1	Erbb4
Il21	Gm20489
Il21	Il2rg
Fgf4	Nrp1
Pgf	Nrp1
Cd70	Cd27
Vegfa	Itga9
Cort	Sstr2
Ccl5	Ccr4
Gdf9	Bmpr2
Tgfa	Erbb4
Ccl22	Dpp4
Clcf1	Esr2
Spp1	Itgb6
Pgf	Flt1
Ctf1	Il6st
Pf4	Cxcr3
Hmgb1	Ager
Grp	Grpr
Ccl16	Ccr5
Gdf5	Bmpr2
Gdf6	Bmpr2
Il13	Il4ra
Igf2	Insr
Hcrt	H2-Ab1
Pmch	Mchr1
Dll3	Notch1
Sst	Sstr2
Inhba	Acvr2a
Inhbc	Acvr2a
Calca	Calcrl
Cxcl10	Dpp4
Bmp7	Acvr2a
Hcrt	Hla-Dqa1
Ngf	Ror1
Gdnf	Ret
Fgf3	Fgfr2
Egf	Vtn
Angpt1	Tek
Cxcl11	Dpp4
Il25	Il17ra
Cxcl11	Ccr3
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Tshb	Tshr
Sst	Sstr5
Vegfc	Itgb1
Fgf2	Sdc4
Gdf5	Bmpr1a
Il23a	Il23r
Il22	Il22ra2
Il22b	Il22ra2
Fgf5	Fgfr1
Lta	Ltbr
Il1f10	Il1r1
Tdgf1	Acvr1b
Scgb3a1	Marco
Tgfb1	Itgb6
Ifna15	Cr2
Ifna14	Cr2
Ifna9	Cr2
Ifna12	Cr2
Ifna13	Cr2
Ifna16	Cr2
Ifna2	Cr2
Ifnab	Cr2
Ifna7	Cr2
Ifna11	Cr2
Ifna6	Cr2
Ifna5	Cr2
Ifna4	Cr2
Ifna1	Cr2
Ccl25	Ccr10
Gip	Gipr
Ifnb1	Ifnar1
Il12b	Il12rb1
Vegfa	Ephb2
Pdgfa	Pdgfra
Ccl3	Ccr3
Cxcl5	Cxcr1
Ngf	Sorcs3
Il19	Il20rb
Mif	Tnfrsf26
Mif	Tnfrsf22
Mif	Tnfrsf23
Csf2	Csf2rb2
Csf2	Csf2rb
Cntf	Il6ra
Sst	Sstr1
Wnt2	Sfrp1
Il1a	Il1rap
Ctgf	Erbb4
Calca	Ramp2
Egf	Erbb2
Apln	Aplnr
Ccl7	Ccr10
Tnfsf13b	Tnfrsf13c
Gdf9	Bmpr1a
Vip	Vipr2
Il23a	Il12rb1
Cxcl12	Dpp4
Clcf1	Crlf1
Il2	Ngfr
Il12a	Il12rb2
Flt3l	Flt3
Igf2	Igf1r
Ndp	Lrp5
Ccl11	Ccr5
Tnfsf15	Tnfrsf6b
Nrg1	Erbb2
Lta	Tnfrsf10b
Lta	Tnfrsf14
Trh	Trhr
Mdk	Alk
Rln3	Rxfp4
Tnf	Ltbr
Pf4	Thbd
Wnt5a	Ror1
Il25	Esr2
Wnt7b	Fzd10
Pomc	Mc4r
Cxcl12	Ccr4
Figf	Nrp2
Ifng	Ifngr2
Ccl4	Ccr3
Mln	Mlnr
Ttr	Ager
Il16	Grin2c
Gdf9	Acvr2a
Il21	Il21r
Bmp6	Acvr2a
Ifna15	Ifnar2
Ifna14	Ifnar2
Ifna9	Ifnar2
Ifna12	Ifnar2
Ifna13	Ifnar2
Ifna16	Ifnar2
Ifna2	Ifnar2
Ifnab	Ifnar2
Ifna7	Ifnar2
Ifna11	Ifnar2
Ifna6	Ifnar2
Ifna5	Ifnar2
Ifna4	Ifnar2
Ifna1	Ifnar2
Nov	Notch1
Fgf7	Nrp1
Ccl5	Cxcr5
Il24	Il20rb
Ccl2	Ccr1
Ccl2	Ccr1l1
Avp	Oxtr
Bmp6	Acvr2b
Ptn	Plxnb2
Tgfb3	Itgb6
Nrg4	Erbb4
Hmgb1	Pgr
Ptn	Alk
Dkk1	Lrp6
Il16	Grin2d
Nppa	Npr1
Osm	Il6st
Angptl3	Itga5
Cga	Fshr
